Title,Year,Rating,Plot,Genre
Fallout,2024-,8.4,"In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits.",adventure
Furiosa: A Mad Max Saga,2024,7.5,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,adventure
Twisters,2024,6.6,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",adventure
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,adventure
Joker: Folie à Deux,2024,5.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",thriller
Monsters,2022-,7.8,An anthology series about high-profile crimes or killers that captured public attention and notoriety.,thriller
Salem's Lot,2024,5.7,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.",thriller
From,2022-,7.8,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",thriller
Slow Horses,2022-,8.2,Follows a team of British intelligence agents who serve as a dumping ground department of MI5 due to their career-ending mistakes.,thriller
It's What's Inside,2024,6.6,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",thriller
Speak No Evil,2024,6.9,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",thriller
Only Murders in the Building,2021-,8.1,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.,thriller
The Platform 2,2024,5,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity.",thriller
Joker,2019,8.4,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",thriller
Wolfs,2024,6.5,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",thriller
Outer Banks,2020-,7.5,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",thriller
Teacup,2024-,6.9,"Trapped on a farm in rural Georgia, a group of neighbors must put aside their differences and unite in the face of a mysterious and deadly threat.",thriller
Disclaimer,2024-,7.5,"Follows Catherine Ravenscroft, a television documentary journalist whose work has been built on revealing the transgressions of long-respected institutions.",thriller
Terrifier,2016,5.6,A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.,thriller
Yellowjackets,2021-,7.8,A wildly talented girls high school soccer team become the unlucky survivors of a plane crash deep in the Canadian wilderness.,thriller
Breaking Bad,2008-2013,9.5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,thriller
The Platform,2019,7,"In a prison where inmates are fed on a descending platform, those on the upper levels take more than their fair share while those below are left to starve on scraps and one man decides to change the system.",thriller
Lost,2004-2010,8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,thriller
Dexter,2006-2013,8.6,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.",thriller
Caddo Lake,2024,6.9,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.",thriller
Strange Darling,2023,7.2,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.,thriller
Prison Break,2005-2017,8.3,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",thriller
The Old Man,2022-,7.6,"A retired CIA agent is hunted by both the agency he once worked for and his own nightmares, when an unknown man suddenly visits him after nearly three decades.",thriller
Blink Twice,2024,6.5,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",thriller
The Lord of the Rings: The Rings of Power,2022-,6.9,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",action
Agatha All Along,2024,6.9,"A spell-bound Agatha Harkness regains freedom thanks to a teen's help. Intrigued by his plea, she embarks on the Witches' Road trials to reclaim her powers and discover the teen's motivations.",action
Deadpool & Wolverine,2024,7.8,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",action
Game of Thrones,2011-2019,9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",action
Outer Banks,2020-,7.5,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",action
Hellboy: The Crooked Man,2024,4.5,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man.",action
Prison Break,2005-2017,8.3,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",action
The Old Man,2022-,7.6,"A retired CIA agent is hunted by both the agency he once worked for and his own nightmares, when an unknown man suddenly visits him after nearly three decades.",action
The Rookie,2018-,8,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",action
The Legend of Vox Machina,2022-,8.4,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",action
Transformers One,2024,7.8,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",action
The Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.",action
Azrael,2024,5.5,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",action
Dandadan,2024-,8.6,"A story of young love and occult battles begins. When Momo and Okarun's beliefs clash, they're thrown into a world of ghosts, aliens, and awakened powers.",action
Bleach: Thousand-Year Blood War,2022-,9,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",action
The Boys,2019-,8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,action
One Piece,1999-,9,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",action
House of the Dragon,2022-,8.4,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",action
The Killer's Game,2024,5.7,"When a hitman is diagnosed with a terminal illness, he decides to take a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues.",action
Trouble,2024,6.1,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter.",action
Gladiator II,2024,N/A,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",action
Citadel: Diana,2024-,5.8,"In 2030 Milan, an undercover agent for the global spy agency Citadel is trapped behind enemy lines as a mole in the powerful enemy syndicate Manticore.",action
SEAL Team,2017-2024,7.8,"The lives of the elite Navy SEALs as they train, plan, and execute the most dangerous, high-stakes missions the United States of America can ask.",action
Civil War,2024,7,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",action
Superman & Lois,2021-2024,7.8,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society.",action
Joker: Folie à Deux,2024,5.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",crime
Monsters,2022-,7.8,An anthology series about high-profile crimes or killers that captured public attention and notoriety.,crime
The Penguin,2024,8.8,"Following the events of The Batman (2022), Oz Cobb, a.k.a. the Penguin, makes a play to seize the reins of the crime world in Gotham.",crime
Only Murders in the Building,2021-,8.1,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.,crime
Joker,2019,8.4,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",crime
Wolfs,2024,6.5,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",crime
Outer Banks,2020-,7.5,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",crime
Tulsa King,2022-,8,"Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters.",crime
The Perfect Couple,2024,6.6,When one lavish wedding ends in disaster before it can even begin--with a body discovered in Nantucket Harbor just hours before the ceremony--everyone in the wedding party is suddenly a suspect.,crime
High Potential,2024-,7.8,"Follows Morgan, a single mom of three kids and how thanks to her exceptional mind, she is able to help to solve a crime as she rearranges evidence during her shift as a cleaner for the police department.",crime
Breaking Bad,2008-2013,9.5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,crime
Dexter,2006-2013,8.6,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.",crime
Prison Break,2005-2017,8.3,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",crime
Babygirl,2024,6.3,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,crime
The Sopranos,1999-2007,9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",crime
The Rookie,2018-,8,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",crime
Killer Heat,2024,5.6,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective.",crime
The Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.",crime
Law & Order: Special Victims Unit,1999-,8.1,"Follows the New York City Police Department's (NYPD) Special Victims Unit (SVU), a specially trained squad of detectives who investigates sex crimes including rape, child sexual abuse, human trafficking and domestic violence.",crime
Longlegs,2024,6.7,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",crime
Ludwig,2024-,8.3,"While seeking to unravel the mystery of his twin brother's disappearance, reclusive puzzle-designer John 'Ludwig' Taylor takes on his twin brother James's identity as DCI on Cambridge's major crimes squad.",crime
The Boys,2019-,8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,crime
Joan,2024,6.7,"A woman who goes between her thriving and daring career as a jewel thief, all whilst trying to get her daughter back from social services, we see a mother in despair swept up in the exhilarating world of crime.",crime
Criminal Minds,2005-,8.1,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,crime
Murder in a Small Town,2024-,6.8,"Karl Alberg moves to a quiet coastal town to soothe a psyche that has been battered by big-city police work, but finds himself needing to call upon all his skills to solve the murders that continue to wash up on his shore.",crime
Nobody Wants This,2024-,8.1,"Follows the unexpected relationship between a rogue rabbi and an irascible, loud, agnostic woman.",comedy
Beetlejuice Beetlejuice,2024,6.9,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",comedy
Agatha All Along,2024,6.9,"A spell-bound Agatha Harkness regains freedom thanks to a teen's help. Intrigued by his plea, she embarks on the Witches' Road trials to reclaim her powers and discover the teen's motivations.",comedy
It's What's Inside,2024,6.6,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",comedy
Deadpool & Wolverine,2024,7.8,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",comedy
Only Murders in the Building,2021-,8.1,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.,comedy
Saturday Night,2024,7.4,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live.",comedy
Beetlejuice,1988,7.5,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",comedy
Bad Monkey,2024-,7.4,"A detective turned restaurant inspector in Key West is pulled into a world of greed and corruption after a tourist finds a severed arm while fishing. And yes, there's a monkey.",comedy
Friends,1994-2004,8.9,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,comedy
Sweetpea,2024-,7.2,The girl everyone overlooks might just be able to get away with murder.,comedy
Inside Out 2,2024,7.6,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",comedy
The Franchise,2024-,6.1,A team trapped inside the dysfunctional hell of creating franchise superhero movies. At the end of the day the question they face is: is this Hollywood's new dawn or cinema's last stand? Is this a dream factory or a chemical plant?,comedy
The Legend of Vox Machina,2022-,8.4,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",comedy
Kaos,2024,7.5,A modern-day contemporary retelling of Greek mythology.,comedy
Anora,2024,8.2,"Anora, a young sex worker from Brooklyn, meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",comedy
Dandadan,2024-,8.6,"A story of young love and occult battles begins. When Momo and Okarun's beliefs clash, they're thrown into a world of ghosts, aliens, and awakened powers.",comedy
Ludwig,2024-,8.3,"While seeking to unravel the mystery of his twin brother's disappearance, reclusive puzzle-designer John 'Ludwig' Taylor takes on his twin brother James's identity as DCI on Cambridge's major crimes squad.",comedy
The Bear,2022-,8.6,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,comedy
The Boys,2019-,8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,comedy
One Piece,1999-,9,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",comedy
Challengers,2024,7.1,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",comedy
The Killer's Game,2024,5.7,"When a hitman is diagnosed with a terminal illness, he decides to take a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues.",comedy
Emilia Pérez,2024,7.4,"In Mexico, a lawyer receives an unexpected offer to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of being.",comedy
Trouble,2024,6.1,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter.",comedy
From,2022-,7.8,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",mystery
It's What's Inside,2024,6.6,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",mystery
Only Murders in the Building,2021-,8.1,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.,mystery
Outer Banks,2020-,7.5,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",mystery
Disclaimer,2024-,7.5,"Follows Catherine Ravenscroft, a television documentary journalist whose work has been built on revealing the transgressions of long-respected institutions.",mystery
The Perfect Couple,2024,6.6,When one lavish wedding ends in disaster before it can even begin--with a body discovered in Nantucket Harbor just hours before the ceremony--everyone in the wedding party is suddenly a suspect.,mystery
High Potential,2024-,7.8,"Follows Morgan, a single mom of three kids and how thanks to her exceptional mind, she is able to help to solve a crime as she rearranges evidence during her shift as a cleaner for the police department.",mystery
Yellowjackets,2021-,7.8,A wildly talented girls high school soccer team become the unlucky survivors of a plane crash deep in the Canadian wilderness.,mystery
The Platform,2019,7,"In a prison where inmates are fed on a descending platform, those on the upper levels take more than their fair share while those below are left to starve on scraps and one man decides to change the system.",mystery
Lost,2004-2010,8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,mystery
Dexter,2006-2013,8.6,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.",mystery
Caddo Lake,2024,6.9,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.",mystery
Prison Break,2005-2017,8.3,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",mystery
Blink Twice,2024,6.5,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",mystery
Babygirl,2024,6.3,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,mystery
Killer Heat,2024,5.6,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective.",mystery
The Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.",mystery
Law & Order: Special Victims Unit,1999-,8.1,"Follows the New York City Police Department's (NYPD) Special Victims Unit (SVU), a specially trained squad of detectives who investigates sex crimes including rape, child sexual abuse, human trafficking and domestic violence.",mystery
Ludwig,2024-,8.3,"While seeking to unravel the mystery of his twin brother's disappearance, reclusive puzzle-designer John 'Ludwig' Taylor takes on his twin brother James's identity as DCI on Cambridge's major crimes squad.",mystery
Supernatural,2005-2020,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",mystery
Stranger Things,2016-2025,8.7,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",mystery
House,2004-2012,8.7,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",mystery
Criminal Minds,2005-,8.1,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,mystery
Murder in a Small Town,2024-,6.8,"Karl Alberg moves to a quiet coastal town to soothe a psyche that has been battered by big-city police work, but finds himself needing to call upon all his skills to solve the murders that continue to wash up on his shore.",mystery
Nosferatu,2024,N/A,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",mystery
Shogun,2024-2026,8.6,"When a mysterious European ship is found marooned in a nearby Japanese fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.",war
SEAL Team,2017-2024,7.8,"The lives of the elite Navy SEALs as they train, plan, and execute the most dangerous, high-stakes missions the United States of America can ask.",war
Lee,2023,7,"The story of American photographer Lee Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II.",war
Fallout,2024-,8.4,"In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits.",war
